theta1,theta2,theta3,thetadot1,thetadot2,thetadot3,tau1,tau2,tau3
0.000595552205240681,-0.000198517401746894,-0.000198517401746894,0.0120736683553114,-0.00402455611843713,-0.00402455611843713,0.00114413017078164,0.000241484502028393,9.73727849172881e-06
0.000619940950308386,-0.000206646983436129,-0.000206646983436129,0.012315043202072,-0.00410501440069066,-0.00410501440069066,0.00119098399103511,0.000251373649591195,1.01360344654023e-05
0.000644812244007682,-0.000214937414669227,-0.000214937414669227,0.0125562169869028,-0.00418540566230092,-0.00418540566230092,0.00123876484673566,0.000261458460891173,1.05426801083503e-05
0.00067016568421471,-0.000223388561404904,-0.000223388561404904,0.0127971897098037,-0.00426572990326791,-0.00426572990326791,0.00128747196528873,0.000271738772868489,1.09572088457786e-05
0.00069600086880561,-0.00023200028960187,-0.00023200028960187,0.0130379613707748,-0.00434598712359161,-0.00434598712359161,0.00133710457409597,0.000282214422462916,1.13796141028888e-05
0.000722317395656523,-0.000240772465218841,-0.000240772465218841,0.0132785319698161,-0.00442617732327205,-0.00442617732327205,0.00138766190055507,0.000292885246613816,1.18098893048782e-05
0.000749114862643588,-0.00024970495421453,-0.00024970495421453,0.0135189015069276,-0.0045063005023092,-0.0045063005023092,0.00143914317205965,0.000303751082260131,1.224802787694e-05
0.000776392867642947,-0.000258797622547649,-0.000258797622547649,0.0137590699821092,-0.00458635666070308,-0.00458635666070308,0.00149154761599909,0.000314811766340361,1.26940232442626e-05
0.000804151008530739,-0.000268050336176913,-0.000268050336176913,0.013999037395361,-0.00466634579845368,-0.00466634579845368,0.00154487445975836,0.000326067135792558,1.31478688320297e-05
0.000832388883183105,-0.000277462961061035,-0.000277462961061035,0.014238803746683,-0.004746267915561,-0.004746267915561,0.00159912293071793,0.0003375170275543,1.36095580654202e-05
0.000861106089476184,-0.000287035363158728,-0.000287035363158728,0.0144783690360751,-0.00482612301202505,-0.00482612301202505,0.00165429225625356,0.000349161278562683,1.4079084369608e-05
0.000890302225286119,-0.000296767408428706,-0.000296767408428706,0.0147177332635375,-0.00490591108784582,-0.00490591108784582,0.00171038166373615,0.000360999725754301,1.45564411697616e-05
0.000919976888489048,-0.000306658962829683,-0.000306658962829683,0.0149568964290699,-0.00498563214302331,-0.00498563214302331,0.00176739038053162,0.00037303220606523,1.50416218910443e-05
0.000950129676961112,-0.000316709892320371,-0.000316709892320371,0.0151958585326726,-0.00506528617755753,-0.00506528617755753,0.00182531763400069,0.000385258556431012,1.55346199586138e-05
0.000980760188578451,-0.000326920062859484,-0.000326920062859484,0.0154346195743454,-0.00514487319144847,-0.00514487319144847,0.00188416265149877,0.000397678613786637,1.6035428797622e-05
0.00101186802121721,-0.000337289340405736,-0.000337289340405736,0.0156731795540884,-0.00522439318469614,-0.00522439318469614,0.00194392466037578,0.000410292215066528,1.6544041833215e-05
